"inventory_id","film_id","film_title","release_year","language_id","store_id","last_update"
1,1,Academy Dinosaur,2006,1,1,2006-02-15 10:09:17.000
2,1,Academy Dinosaur,2006,1,1,2006-02-15 10:09:17.000
3,1,Academy Dinosaur,2006,1,1,2006-02-15 10:09:17.000
4,1,Academy Dinosaur,2006,1,1,2006-02-15 10:09:17.000
5,1,Academy Dinosaur,2006,1,2,2006-02-15 10:09:17.000
6,1,Academy Dinosaur,2006,1,2,2006-02-15 10:09:17.000
7,1,Academy Dinosaur,2006,1,2,2006-02-15 10:09:17.000
8,1,Academy Dinosaur,2006,1,2,2006-02-15 10:09:17.000
9,2,Ace Goldfinger,2006,1,2,2006-02-15 10:09:17.000
10,2,Ace Goldfinger,2006,1,2,2006-02-15 10:09:17.000
11,2,Ace Goldfinger,2006,1,2,2006-02-15 10:09:17.000
12,3,Adaptation Holes,2006,1,2,2006-02-15 10:09:17.000
13,3,Adaptation Holes,2006,1,2,2006-02-15 10:09:17.000
14,3,Adaptation Holes,2006,1,2,2006-02-15 10:09:17.000
15,3,Adaptation Holes,2006,1,2,2006-02-15 10:09:17.000
16,4,Affair Prejudice,2006,1,1,2006-02-15 10:09:17.000
17,4,Affair Prejudice,2006,1,1,2006-02-15 10:09:17.000
18,4,Affair Prejudice,2006,1,1,2006-02-15 10:09:17.000
19,4,Affair Prejudice,2006,1,1,2006-02-15 10:09:17.000
20,4,Affair Prejudice,2006,1,2,2006-02-15 10:09:17.000
21,4,Affair Prejudice,2006,1,2,2006-02-15 10:09:17.000
22,4,Affair Prejudice,2006,1,2,2006-02-15 10:09:17.000
23,5,African Egg,2006,1,2,2006-02-15 10:09:17.000
24,5,African Egg,2006,1,2,2006-02-15 10:09:17.000
25,5,African Egg,2006,1,2,2006-02-15 10:09:17.000
26,6,Agent Truman,2006,1,1,2006-02-15 10:09:17.000
27,6,Agent Truman,2006,1,1,2006-02-15 10:09:17.000
28,6,Agent Truman,2006,1,1,2006-02-15 10:09:17.000
29,6,Agent Truman,2006,1,2,2006-02-15 10:09:17.000
30,6,Agent Truman,2006,1,2,2006-02-15 10:09:17.000
31,6,Agent Truman,2006,1,2,2006-02-15 10:09:17.000
32,7,Airplane Sierra,2006,1,1,2006-02-15 10:09:17.000
33,7,Airplane Sierra,2006,1,1,2006-02-15 10:09:17.000
34,7,Airplane Sierra,2006,1,2,2006-02-15 10:09:17.000
35,7,Airplane Sierra,2006,1,2,2006-02-15 10:09:17.000
36,7,Airplane Sierra,2006,1,2,2006-02-15 10:09:17.000
37,8,Airport Pollock,2006,1,2,2006-02-15 10:09:17.000
38,8,Airport Pollock,2006,1,2,2006-02-15 10:09:17.000
39,8,Airport Pollock,2006,1,2,2006-02-15 10:09:17.000
40,8,Airport Pollock,2006,1,2,2006-02-15 10:09:17.000
41,9,Alabama Devil,2006,1,1,2006-02-15 10:09:17.000
42,9,Alabama Devil,2006,1,1,2006-02-15 10:09:17.000
43,9,Alabama Devil,2006,1,1,2006-02-15 10:09:17.000
44,9,Alabama Devil,2006,1,2,2006-02-15 10:09:17.000
45,9,Alabama Devil,2006,1,2,2006-02-15 10:09:17.000
