"film_id","film_title","payment_id","amount","payment_date","customer_id"
749,Rules Human,17503,7.99,2007-02-15 22:25:46.996,341
552,Majestic Floats,17504,1.99,2007-02-16 17:23:14.996,341
551,Maiden Home,17505,7.99,2007-02-16 22:41:45.996,341
445,Hyde Doctor,17506,2.99,2007-02-19 19:39:56.996,341
563,Massacre Usual,17507,7.99,2007-02-20 17:31:48.996,341
26,Annie Identity,17508,5.99,2007-02-21 12:33:49.996,341
961,Wash Heavenly,17509,5.99,2007-02-17 23:58:17.996,342
527,Lola Agent,17510,5.99,2007-02-20 02:11:44.996,342
449,Identity Lover,17511,2.99,2007-02-20 13:57:39.996,342
639,Opposite Necklace,17512,4.99,2007-02-16 00:10:50.996,343
30,Anything Savannah,17513,6.99,2007-02-16 01:15:33.996,343
868,Superfly Trip,17514,0.99,2007-02-17 01:26:00.996,343
545,Madness Attacks,17515,0.99,2007-02-17 04:32:51.996,343
16,Alley Evolution,17516,6.99,2007-02-18 18:26:38.996,343
69,Beverly Outlaw,17517,8.99,2007-02-20 07:03:29.996,343
855,Streak Ridgemont,17518,0.99,2007-02-21 14:42:28.996,343
738,Rocketeer Mother,17519,3.99,2007-02-15 10:54:44.996,344
398,Hanover Galaxy,17520,4.99,2007-02-15 19:36:27.996,344
809,Slipper Fidelity,17521,0.99,2007-02-16 14:00:38.996,344
1,Academy Dinosaur,17522,0.99,2007-02-15 01:26:17.996,345
159,Closer Bang,17523,4.99,2007-02-15 18:34:15.996,345
436,Hours Rage,17524,0.99,2007-02-16 00:27:01.996,345
749,Rules Human,17525,4.99,2007-02-19 16:13:41.996,345
476,Jason Trap,17526,5.99,2007-02-17 09:35:32.996,346
906,Tramp Others,17527,2.99,2007-02-21 12:02:45.996,346
857,Strictly Scarface,17528,2.99,2007-02-21 15:51:24.996,346
61,Beauty Grease,17529,8.99,2007-02-16 12:40:18.996,347
663,Patient Sister,17530,0.99,2007-02-18 04:59:41.996,347
878,Teen Apollo,17531,4.99,2007-02-20 10:16:26.996,347
946,Virtual Spoilers,17532,8.99,2007-02-20 14:33:08.996,347
229,Devil Desire,17533,7.99,2007-02-21 07:33:16.996,347
232,Dirty Ace,17534,2.99,2007-02-16 08:11:14.996,348
170,Command Darling,17535,8.99,2007-02-17 12:47:26.996,348
697,Primary Glass,17536,0.99,2007-02-18 21:30:02.996,348
835,Spy Mile,17537,2.99,2007-02-15 00:11:12.996,349
